14:01:04.0	power
14:00:00.0	reset
14:02:00.0	event parind
14:02:04.0	tog 1
14:02:50.0	tog 2
14:02:52.0	num 1
14:03:35.0	num 2
14:03:55.0	trig 1
14:04:30.0	cancel
14:05:00.0	newrun
14:05:02.0	trig 1
14:05:15.0	tog 3
14:05:18.0	tog 4
14:35:52.0	trig 3
14:35:55.0	trig 57
15:01:04.0	cancel
15:00:00.0	cancel
15:02:00.0	dnf
15:02:04.0	dnf
15:02:50.0	trig 1
15:02:52.0	trig 3
15:03:35.0	trig 2
15:03:55.0	trig 4
15:04:30.0	print 0
15:05:00.0	print 1
15:05:02.0	endrun
15:05:15.0	print 1
15:05:18.0	print 2
15:35:52.0	print 0
15:35:55.0	exit
